,City,CLoundiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
293,Makakilo City,90,US,2021-04-16,57,21.3469,-158.0858,26.0,3.6
294,Dalbandin,0,PK,2021-04-16,14,28.8947,64.4101,25.25,1.23
295,Kuching,40,MY,2021-04-16,89,1.55,110.3333,27.0,2.06
296,Iqaluit,75,CA,2021-04-16,73,63.7506,-68.5145,-10.0,4.12
297,Mandalgovi,0,MN,2021-04-16,17,45.7625,106.2708,9.39,6.97
298,Rāmshīr,0,IR,2021-04-16,41,30.8946,49.4092,18.0,3.09
299,Virtsu,92,EE,2021-04-16,50,58.5716,23.5115,5.0,5.81
300,Bambous Virieux,40,MU,2021-04-16,88,-20.3428,57.7575,26.67,2.06
301,Dingle,96,PH,2021-04-16,61,10.9995,122.6711,30.25,5.11
302,Belaya Gora,1,RU,2021-04-16,70,68.5333,146.4167,-3.03,5.61
303,Leh,100,IN,2021-04-16,68,34.1667,77.5833,2.68,2.11
304,Alyangula,75,AU,2021-04-16,66,-13.8483,136.4192,30.0,5.14
305,Dryden,90,CA,2021-04-16,36,49.7833,-92.7503,6.0,1.54
306,Volchansk,39,RU,2021-04-16,61,59.9378,60.081,3.02,4.23
307,Puerto Escondido,40,MX,2021-04-16,78,15.85,-97.0667,27.0,3.6
308,Katsuura,100,JP,2021-04-16,62,35.1333,140.3,18.33,7.88
309,Maxcanú,40,MX,2021-04-16,89,20.5833,-89.9833,28.0,4.63
310,Hualmay,97,PE,2021-04-16,86,-11.0964,-77.6139,19.45,3.29
311,Magrath,1,CA,2021-04-16,17,49.4167,-112.8686,15.0,0.51
312,Cocorit,13,MX,2021-04-16,24,27.5833,-109.9667,23.07,3.19
313,San Fernando del Valle de Catamarca,7,AR,2021-04-16,88,-28.4696,-65.7852,16.67,0.89
314,Galle,83,LK,2021-04-16,74,6.0367,80.217,27.76,2.29
315,Bayir,75,TR,2021-04-16,34,37.2687,28.2167,19.0,3.09
316,Atar,0,MR,2021-04-16,29,20.5169,-13.0499,22.01,4.33
317,Arraial do Cabo,14,BR,2021-04-16,77,-22.9661,-42.0278,23.6,7.69
318,Mahon,0,ES,2021-04-16,57,39.8885,4.2658,10.0,4.63
319,Hofn,24,IS,2021-04-16,79,64.2539,-15.2082,5.96,9.11
320,Riyadh,0,SA,2021-04-16,12,24.6877,46.7219,24.0,2.06
321,San Matías,24,BO,2021-04-16,71,-16.3667,-58.4,25.34,1.77
322,Nanortalik,0,GL,2021-04-16,57,60.1432,-45.2371,-6.02,21.99
323,Bilma,2,NE,2021-04-16,8,18.6853,12.9164,27.74,3.71
324,Fairmont,100,US,2021-04-16,78,39.4851,-80.1426,7.22,2.36
325,Porangatu,14,BR,2021-04-16,72,-13.4408,-49.1486,22.63,0.77
326,Dunedin,42,NZ,2021-04-16,42,-45.8742,170.5036,14.44,3.58
327,Yar-Sale,50,RU,2021-04-16,94,66.8333,70.8333,-16.81,4.31
328,Bandarbeyla,18,SO,2021-04-16,72,9.4942,50.8122,26.82,2.11
329,Grand Gaube,36,MU,2021-04-16,82,-20.0064,57.6608,26.67,2.68
330,Ulladulla,90,AU,2021-04-16,67,-35.35,150.4667,17.22,2.93
331,Port-Cartier,1,CA,2021-04-16,86,50.0334,-66.8654,-1.11,3.09
332,Leshukonskoye,100,RU,2021-04-16,85,64.8989,45.7622,1.58,3.87
333,Sambava,24,MG,2021-04-16,89,-14.2667,50.1667,23.65,1.71
334,Berlevåg,100,NO,2021-04-16,87,70.8578,29.0864,4.16,15.24
335,Launceston,34,AU,2021-04-16,48,-41.45,147.1667,18.33,7.2
336,Acaraú,91,BR,2021-04-16,89,-2.8856,-40.12,25.34,4.92
337,Charters Towers,2,AU,2021-04-16,30,-20.1,146.2667,29.69,4.09
338,Cartagena del Chairá,64,CO,2021-04-16,96,1.3349,-74.8429,22.77,0.92
339,Malakal,17,SS,2021-04-16,14,9.5334,31.6605,27.68,2.19
340,Storforshei,5,NO,2021-04-16,86,66.4043,14.5233,-3.81,1.41
341,Poum,31,NC,2021-04-16,73,-20.2333,164.0167,25.91,3.0
342,Mehamn,100,NO,2021-04-16,92,71.0357,27.8492,3.93,14.91
343,Ust-Kuyga,96,RU,2021-04-16,67,70.0167,135.6,-3.83,2.15
344,Leningradskiy,83,RU,2021-04-16,79,69.3833,178.4167,1.0,1.57
345,Belmonte,40,BR,2021-04-16,88,-15.8631,-38.8828,21.0,2.06
346,Letlhakane,13,BW,2021-04-16,80,-21.4167,25.5833,16.0,7.29
347,Gazojak,30,TM,2021-04-16,21,41.1875,61.4036,20.42,1.44
348,Vostok,92,RU,2021-04-16,34,46.4856,135.8833,9.29,4.41
349,Port Blair,62,IN,2021-04-16,66,11.6667,92.75,29.65,5.19
350,Port Pirie,75,AU,2021-04-16,55,-33.1833,138.0167,18.0,4.63
351,São Francisco de Assis,61,BR,2021-04-16,92,-29.5503,-55.1311,18.92,1.8
352,Pochutla,0,MX,2021-04-16,53,15.7432,-96.4661,26.67,0.45
353,Ngunguru,2,NZ,2021-04-16,64,-35.6167,174.5,18.89,4.92
354,Richards Bay,99,ZA,2021-04-16,77,-28.783,32.0377,17.11,1.57
355,Kirakira,20,SB,2021-04-16,71,-10.4544,161.9205,30.01,5.35
356,Borovichi,58,RU,2021-04-16,78,58.3878,33.9155,4.72,4.32
357,Nizhniy Kuranakh,100,RU,2021-04-16,62,58.8353,125.4869,5.44,6.15
358,Clyde River,90,CA,2021-04-16,79,70.4692,-68.5914,-12.0,7.72
359,Pizarro,100,CO,2021-04-16,89,4.9533,-77.366,24.5,1.19
360,Port Huron,90,US,2021-04-16,87,42.9709,-82.4249,4.0,3.6
361,Kamina,100,CD,2021-04-16,96,-8.7386,24.9906,17.84,2.48
362,Xingyi,100,CN,2021-04-16,92,24.1877,102.817,14.3,1.17
363,Onega,24,RU,2021-04-16,90,63.9061,38.1404,-0.75,1.52
364,Olbia,0,IT,2021-04-16,93,40.9214,9.4856,10.0,0.51
365,Jardim,54,BR,2021-04-16,83,-21.4803,-56.1381,21.96,0.55
366,Anchorage,1,US,2021-04-16,53,61.2181,-149.9003,10.0,2.57
367,Lavrentiya,100,RU,2021-04-16,88,65.5833,-171.0,0.72,4.23
368,Kuopio,0,FI,2021-04-16,86,62.8924,27.677,-2.0,1.03
369,Liberty,40,US,2021-04-16,82,31.8335,-81.5004,14.0,1.27
370,Lebu,68,CL,2021-04-16,87,-37.6167,-73.65,11.74,4.29
371,Baza,8,ES,2021-04-16,87,37.4907,-2.7726,7.22,0.67
372,Wajima,75,JP,2021-04-16,100,37.4,136.9,11.0,2.57
373,Charopo,100,GR,2021-04-16,72,41.2667,23.3833,9.44,0.45
374,Big Spring,1,US,2021-04-16,66,32.2504,-101.4787,11.11,8.75
375,Ponta do Sol,9,PT,2021-04-16,67,32.6667,-17.1,14.44,2.24
376,Linxia Chengguanzhen,98,CN,2021-04-16,26,35.6003,103.2064,9.54,1.83
377,Malinovskiy,100,RU,2021-04-16,70,61.1953,62.8397,2.57,5.34
378,Belle Glade,5,US,2021-04-16,84,26.6845,-80.6676,23.89,4.73
379,Bubaque,74,GW,2021-04-16,72,11.2833,-15.8333,24.88,6.36
380,Pāsighāt,40,IN,2021-04-16,42,28.0667,95.3333,29.09,0.92
381,Gold Coast,90,AU,2021-04-16,64,-28.0,153.4333,23.33,3.09
382,Izazi,94,TZ,2021-04-16,92,-7.2,35.7333,19.39,0.49
383,Nouadhibou,0,MR,2021-04-16,77,20.931,-17.0347,19.0,11.32
384,Bali,20,ID,2021-04-16,74,-8.5,115.0,30.0,4.12
385,College,1,US,2021-04-16,46,64.8569,-147.8028,8.0,2.57
386,Thinadhoo,85,MV,2021-04-16,66,0.5333,72.9333,27.65,2.22
387,Gaogou,0,CN,2021-04-16,21,34.0175,119.1886,16.94,6.64
388,Murdochville,100,CA,2021-04-16,75,48.9583,-65.5006,1.0,7.2
389,Caboolture,75,AU,2021-04-16,83,-27.0833,152.95,25.56,3.09
390,Zhezkazgan,89,KZ,2021-04-16,42,47.8043,67.7144,13.92,2.86
391,Brae,100,GB,2021-04-16,88,60.3964,-1.353,5.92,5.11
392,Lerwick,100,GB,2021-04-16,87,60.1545,-1.1494,6.11,5.87
393,Krasnyy Oktyabr',100,RU,2021-04-16,89,56.1167,38.8833,6.32,4.5
394,Atambua,19,ID,2021-04-16,60,-9.1061,124.8925,28.15,0.81
395,Esil,43,KZ,2021-04-16,85,51.9556,66.4042,8.17,4.2
396,Muriti,100,TZ,2021-04-16,83,-1.9833,32.9167,21.4,6.75
397,Nizhniy Tsasuchey,6,RU,2021-04-16,19,50.5167,115.1333,12.73,4.86
398,Ledec,90,CZ,2021-04-16,87,49.9745,15.5937,4.0,3.6
399,Shelburne,100,CA,2021-04-16,100,44.0787,-80.2041,5.0,2.18
400,Port Lincoln,7,AU,2021-04-16,48,-34.7333,135.8667,18.53,2.51
401,Naze,75,JP,2021-04-16,88,28.3667,129.4833,24.0,8.75
402,Greeneville,1,US,2021-04-16,57,36.1632,-82.831,10.0,1.52
403,Paamiut,65,GL,2021-04-16,65,61.994,-49.6678,-12.54,5.67
404,Arlit,61,NE,2021-04-16,7,18.7369,7.3853,28.23,3.17
405,Sinnamary,81,GF,2021-04-16,81,5.3833,-52.95,25.71,5.05
406,Aizpute,20,LV,2021-04-16,65,56.7167,21.6,6.0,2.57
407,Nara,75,JP,2021-04-16,94,34.6851,135.8049,15.0,1.54
408,Tessalit,100,ML,2021-04-16,12,20.1986,1.0114,28.89,4.02
409,Folldal,80,NO,2021-04-16,93,62.1325,9.9968,-7.6,1.87
410,Vvedenskoye,0,RU,2021-04-16,56,55.4753,65.0847,3.64,1.65
411,Bowen,90,AU,2021-04-16,69,-20.0167,148.2333,27.0,5.14
412,Shanghai,20,CN,2021-04-16,59,31.2222,121.4581,20.0,6.0
413,Inongo,100,CD,2021-04-16,90,-1.95,18.2667,22.31,1.6
414,Zhigalovo,77,RU,2021-04-16,57,54.8097,105.1578,9.43,2.99
415,Beringovskiy,100,RU,2021-04-16,90,63.05,179.3167,0.8,6.5
416,Sur,71,OM,2021-04-16,42,22.5667,59.5289,29.88,1.83
417,Kherālu,2,IN,2021-04-16,55,23.8833,72.6167,29.03,3.89
418,Timmins,75,CA,2021-04-16,75,48.4669,-81.3331,2.0,5.14
419,Ajdabiya,60,LY,2021-04-16,17,30.7554,20.2263,26.14,5.91
420,Kisi,100,NG,2021-04-16,79,9.0833,3.85,24.74,3.99
421,Eyl,4,SO,2021-04-16,77,7.9803,49.8164,26.76,4.0
422,Ukiah,1,US,2021-04-16,24,39.1502,-123.2078,21.0,5.66
423,Tambovka,20,RU,2021-04-16,39,50.0969,128.0489,8.0,4.0
424,Springville,90,US,2021-04-16,65,40.1652,-111.6107,7.0,1.06
425,Tiksi,100,RU,2021-04-16,95,71.6872,128.8694,-14.03,5.22
426,Sola,11,VU,2021-04-16,69,-13.8833,167.55,28.11,6.52
427,Taltal,33,CL,2021-04-16,87,-25.4,-70.4833,16.4,1.44
428,Mutsu,75,JP,2021-04-16,82,41.2894,141.2169,12.22,1.54
429,Biak,91,ID,2021-04-16,75,-0.9131,122.8766,27.28,2.17
430,Beloha,61,MG,2021-04-16,62,-25.1667,45.05,17.82,6.16
431,Maralal,7,KE,2021-04-16,86,1.0968,36.698,14.25,2.09
432,Umluj,0,SA,2021-04-16,70,25.0213,37.2685,24.41,2.17
433,Kibaya,100,TZ,2021-04-16,94,-5.3,36.5667,15.11,1.67
434,Brewster,90,US,2021-04-16,65,41.3973,-73.6171,7.0,2.57
435,Haines Junction,100,CA,2021-04-16,40,60.7522,-137.5108,9.0,1.03
436,Nola,100,IT,2021-04-16,50,40.922,14.5329,11.11,1.34
437,Nemuro,75,JP,2021-04-16,62,43.3236,145.575,10.0,5.14
438,Baruun-Urt,0,MN,2021-04-16,24,46.6806,113.2792,7.24,7.83
439,Skegness,20,GB,2021-04-16,93,53.1436,0.3363,2.0,1.03
440,Kavaratti,5,IN,2021-04-16,72,10.5669,72.642,28.91,2.89
441,Kosh-Agach,7,RU,2021-04-16,37,50.0,88.6667,3.09,1.18
442,Tromsø,20,NO,2021-04-16,75,69.6496,18.957,4.0,7.2
443,São Miguel do Araguaia,98,BR,2021-04-16,75,-13.275,-50.1628,24.55,0.92
444,Betsiamites,1,CA,2021-04-16,69,48.9413,-68.646,2.0,7.72
445,Hue,40,VN,2021-04-16,74,16.4667,107.6,29.0,1.54
446,Tongren,100,CN,2021-04-16,70,27.7172,109.1853,18.85,1.56
447,Chokurdakh,7,RU,2021-04-16,86,70.6333,147.9167,-11.17,4.28
448,Zaysan,99,KZ,2021-04-16,31,47.4667,84.8667,14.31,1.34
449,Eureka,3,US,2021-04-16,84,40.8021,-124.1637,10.56,0.7
450,Hailar,2,CN,2021-04-16,79,49.2,119.7,0.92,4.55
451,Kysyl-Syr,96,RU,2021-04-16,78,63.8986,122.7617,-3.89,5.92
452,Bogovarovo,0,RU,2021-04-16,80,58.9785,47.0246,1.6,1.64
453,Adré,48,TD,2021-04-16,9,13.4667,22.2,22.75,5.6
454,Praia da Vitória,75,PT,2021-04-16,88,38.7333,-27.0667,17.22,7.95
455,Lehigh Acres,1,US,2021-04-16,83,26.6254,-81.6248,24.0,3.09
456,Port Keats,99,AU,2021-04-16,40,-14.25,129.55,33.26,6.02
457,Alta Floresta,98,BR,2021-04-16,94,-9.8756,-56.0861,22.3,1.18
458,Kaitangata,64,NZ,2021-04-16,43,-46.2817,169.8464,14.44,5.36
459,Dolores,52,AR,2021-04-16,87,-36.3132,-57.6792,16.34,1.55
460,Cockburn Town,13,TC,2021-04-16,72,21.4612,-71.1419,24.84,5.09
461,Mildura,2,AU,2021-04-16,41,-34.2,142.15,16.67,4.12
462,Olinda,40,BR,2021-04-16,88,-8.0089,-34.8553,23.0,1.03
463,Wuwei,93,CN,2021-04-16,20,37.9281,102.6414,9.78,2.59
464,Santa Cruz de la Sierra,0,BO,2021-04-16,77,-17.8,-63.1667,22.82,2.27
465,Taoudenni,90,ML,2021-04-16,18,22.6783,-3.9836,25.17,4.6
466,Warmbad,71,NA,2021-04-16,36,-28.45,18.7333,21.85,3.12
467,Jumla,99,NP,2021-04-16,30,29.2747,82.1838,15.8,1.74
468,Oktyabr'skoye,24,RU,2021-04-16,93,43.0645,44.7417,6.0,3.0
469,Mandera,11,KE,2021-04-16,74,3.9366,41.867,26.25,4.91
470,Juba,21,SS,2021-04-16,67,4.8517,31.5825,23.97,2.51
471,Christchurch,75,NZ,2021-04-16,62,-43.5333,172.6333,14.44,3.6
472,Tarata,11,BO,2021-04-16,60,-17.6167,-66.0167,16.11,1.79
473,Nador,0,MA,2021-04-16,94,35.174,-2.9287,12.0,1.03
474,Henties Bay,99,NA,2021-04-16,54,-22.116,14.2845,25.56,0.89
475,Pecos,75,US,2021-04-16,59,31.4229,-103.4932,16.0,6.69
476,Balkanabat,4,TM,2021-04-16,47,39.5108,54.3671,18.19,3.27
477,Strezhevoy,0,RU,2021-04-16,50,60.7333,77.5889,-4.0,6.0
478,Portland,1,US,2021-04-16,16,45.5234,-122.6762,25.0,6.17
479,Port Hardy,1,CA,2021-04-16,42,50.6996,-127.4199,18.0,3.6
480,São João da Barra,27,BR,2021-04-16,82,-21.6403,-41.0511,22.22,3.06
481,Kidal,63,ML,2021-04-16,7,18.4411,1.4078,29.8,3.11
482,Peniche,82,PT,2021-04-16,92,39.3558,-9.3811,12.22,2.21
483,Sistranda,0,NO,2021-04-16,87,63.7256,8.834,2.0,2.57
484,Saiha,19,IN,2021-04-16,33,22.4833,92.9667,29.64,1.5
485,Merghindeal,0,RO,2021-04-16,86,45.9667,24.7333,0.0,0.67
486,Kostino,12,RU,2021-04-16,73,58.9097,53.2691,2.1,1.74
487,Chicama,100,PE,2021-04-16,77,-7.8447,-79.1469,21.21,2.33
488,Lisala,100,CD,2021-04-16,94,2.15,21.5167,21.97,1.34
489,Levelland,75,US,2021-04-16,65,33.5873,-102.378,7.22,8.75
490,Tailai,83,CN,2021-04-16,35,46.3833,123.4,9.71,7.78
491,Brigantine,90,US,2021-04-16,66,39.4101,-74.3646,10.0,4.12
492,Kaili,47,ID,2021-04-16,66,-3.4626,120.2147,25.59,1.81
493,Obama,100,JP,2021-04-16,98,35.4958,135.746,14.44,0.89
494,Avera,1,US,2021-04-16,87,33.194,-82.5271,13.33,2.0
495,Usogorsk,93,RU,2021-04-16,84,63.4106,48.6872,1.47,3.48
496,Barsovo,0,RU,2021-04-16,54,61.1667,73.1667,-2.0,6.0
497,Shihezi,53,CN,2021-04-16,18,44.3,86.0333,18.41,4.13
498,Aasiaat,100,GL,2021-04-16,85,68.7098,-52.8699,-15.78,4.82
499,Abohar,29,IN,2021-04-16,40,30.15,74.1833,24.76,3.23
500,Shestakovo,100,RU,2021-04-16,87,56.4915,103.96,1.05,3.23
501,Postojna,82,SI,2021-04-16,75,45.7769,14.2167,0.56,2.53
502,Inhambane,82,MZ,2021-04-16,68,-23.865,35.3833,20.04,7.14
503,Mahajanga,20,MG,2021-04-16,94,-15.7167,46.3167,23.0,2.06
504,Flin Flon,25,CA,2021-04-16,93,54.7682,-101.865,-1.1,0.9
505,State College,90,US,2021-04-16,75,40.7934,-77.86,5.56,4.12
506,Polovinnoye,1,RU,2021-04-16,72,54.7914,65.9864,3.28,2.72
507,Luganville,39,VU,2021-04-16,67,-15.5333,167.1667,29.43,3.54
508,Aykhal,100,RU,2021-04-16,90,66.0,111.5,-12.9,9.55
509,Yangi Marg`ilon,11,UZ,2021-04-16,36,40.4272,71.7189,18.0,2.06
510,Eningen unter Achalm,0,DE,2021-04-16,86,48.4869,9.2595,1.0,2.06
511,Tecpan,75,GT,2021-04-16,88,14.7623,-90.9947,20.56,6.17
512,Lae,40,PG,2021-04-16,66,-6.7221,146.9847,30.0,4.12
513,Aquidauana,2,BR,2021-04-16,78,-20.4711,-55.7872,22.61,2.71
514,Lumberton,1,US,2021-04-16,62,34.6182,-79.0086,14.0,2.57
515,Palmi,0,IT,2021-04-16,76,38.3653,15.8615,11.11,1.72
516,São Geraldo do Araguaia,93,BR,2021-04-16,96,-6.4006,-48.555,23.24,0.93
517,Padang,75,ID,2021-04-16,83,-0.9492,100.3543,26.0,1.54
518,Villacarrillo,22,ES,2021-04-16,75,38.1156,-3.0848,5.82,0.82
519,Vieques,40,PR,2021-04-16,83,18.425,-65.8329,26.0,5.14
520,Saint-Paul,75,RE,2021-04-16,83,-21.0096,55.2707,25.0,2.57
521,Lorengau,91,PG,2021-04-16,69,-2.0226,147.2712,29.74,3.6
522,Manthani,0,IN,2021-04-16,48,18.65,79.6667,31.53,5.27
523,Waingapu,62,ID,2021-04-16,70,-9.6567,120.2641,29.25,5.32
524,Alindao,95,CF,2021-04-16,73,5.0267,21.2088,22.33,1.09
525,Half Moon Bay,90,US,2021-04-16,87,37.4636,-122.4286,12.22,5.14
526,Tete,40,MZ,2021-04-16,78,-16.1564,33.5867,22.0,1.54
527,Panlaitan,100,PH,2021-04-16,70,12.1191,119.8486,29.29,4.11
528,San Juan,61,AR,2021-04-16,43,-31.5375,-68.5364,23.18,1.06
529,Flinders,100,AU,2021-04-16,67,-34.5833,150.8552,19.44,0.45
530,Mount Gambier,90,AU,2021-04-16,63,-37.8333,140.7667,17.0,5.14
531,Coyhaique,100,CL,2021-04-16,96,-45.5752,-72.0662,7.2,1.99
532,Osinki,10,RU,2021-04-16,83,52.8432,49.5132,10.5,4.19
533,La Palma,1,US,2021-04-16,82,33.8464,-118.0467,18.0,4.12
534,Bojnourd,20,IR,2021-04-16,87,37.4747,57.329,8.0,2.06
535,Karaton,40,ID,2021-04-16,74,-6.3424,106.1045,29.0,1.54
536,Namikupa,42,TZ,2021-04-16,97,-10.8333,39.6,19.62,1.68
537,Nyuksenitsa,4,RU,2021-04-16,84,60.4128,44.2397,0.92,1.36
538,Hoskote,7,IN,2021-04-16,51,14.2769,77.1699,28.33,4.03
539,Marquette,1,US,2021-04-16,74,46.5333,-87.6335,-0.56,3.09
540,Jutaí,100,BR,2021-04-16,98,-5.1833,-68.9,22.39,0.45
541,Porterville,1,US,2021-04-16,25,36.0652,-119.0168,24.0,4.12
542,Lábrea,100,BR,2021-04-16,97,-7.2586,-64.7981,23.05,0.96
543,Liliw,100,PH,2021-04-16,64,14.1307,121.4366,31.11,3.13
544,Sédhiou,1,SN,2021-04-16,50,12.7081,-15.5569,24.29,1.68
545,Boden,29,SE,2021-04-16,100,65.8252,21.6886,-3.0,1.54
546,Staraya Mayna,31,RU,2021-04-16,70,54.6,48.95,3.0,3.0
547,Bonthe,79,SL,2021-04-16,86,7.5264,-12.505,25.88,2.96
548,Abu Dhabi,0,AE,2021-04-16,69,24.4667,54.3667,24.0,1.03
549,Serov,8,RU,2021-04-16,54,59.6033,60.5787,3.34,3.93
550,Saint Anthony,1,US,2021-04-16,37,45.0205,-93.218,11.0,3.51
551,Shreveport,90,US,2021-04-16,94,32.5251,-93.7502,14.0,2.57
552,Banda Aceh,100,ID,2021-04-16,68,5.5577,95.3222,28.87,2.79
553,Punta Cardon,96,VE,2021-04-16,84,11.6581,-70.215,25.97,11.29
554,Talara,99,PE,2021-04-16,79,-4.5772,-81.2719,21.49,4.29
555,Marzuq,7,YE,2021-04-16,39,14.4,46.4667,18.91,0.69
556,Bara,98,NG,2021-04-16,47,10.3744,10.7288,26.07,1.22
557,Wakema,14,MM,2021-04-16,53,16.6,95.1833,29.95,0.2
558,Carupano,100,VE,2021-04-16,87,10.6678,-63.2585,24.14,3.64
559,Alpena,40,US,2021-04-16,70,45.0617,-83.4327,6.0,4.12
560,Tuatapere,94,NZ,2021-04-16,61,-46.1333,167.6833,12.78,3.58
561,Zhangjiakou Shi Xuanhua Qu,0,CN,2021-04-16,16,40.6103,115.0447,10.0,8.61
562,Abū Zabad,69,SD,2021-04-16,9,12.35,29.25,23.42,4.46
563,Cabo San Lucas,40,MX,2021-04-16,60,22.8909,-109.9124,22.0,1.54
564,Capivari,0,BR,2021-04-16,73,-22.995,-47.5078,21.11,3.6
565,Javorník,100,CZ,2021-04-16,91,50.3908,17.0027,1.67,1.5
566,Maumere,52,ID,2021-04-16,60,-8.6199,122.2111,29.62,0.33
567,Nuuk,90,GL,2021-04-16,73,64.1835,-51.7216,-11.0,1.03
568,Črnomelj,85,SI,2021-04-16,86,45.5711,15.1889,2.78,0.67
569,Saint Lawrence,75,MT,2021-04-16,82,36.0553,14.204,14.0,6.69
570,Santa Maria,20,BR,2021-04-16,100,-29.6842,-53.8069,19.0,0.51
571,Mugur-Aksy,88,RU,2021-04-16,25,50.35,90.5,4.61,1.78
572,Chapada dos Guimarães,0,BR,2021-04-16,83,-15.4606,-55.7497,26.0,1.03
573,Esim,79,GH,2021-04-16,85,4.8699,-2.2405,25.86,1.65
574,Lamar,90,US,2021-04-16,93,33.6668,-95.5836,11.11,3.6
575,Kuchera,4,IN,2021-04-16,33,26.9839,73.9719,26.83,1.27
576,Sokoto,16,NG,2021-04-16,9,13.0609,5.239,27.28,3.9
577,Krasnaya Polyana,0,RU,2021-04-16,68,56.242,51.1442,2.88,2.75
578,Zaraza,15,VE,2021-04-16,71,9.3503,-65.3245,26.82,2.74
579,Elesbão Veloso,100,BR,2021-04-16,75,-6.2019,-42.1403,24.52,1.0
580,Malinovoye Ozero,99,RU,2021-04-16,76,51.6753,79.7825,6.62,5.88
581,Temerloh,100,MY,2021-04-16,86,3.4483,102.4176,27.15,0.83
582,Lira,7,UG,2021-04-16,93,2.235,32.9097,18.22,1.89
583,San Andrés,75,CO,2021-04-16,78,12.5847,-81.7006,28.0,5.14
584,Pudozh,3,RU,2021-04-16,94,61.8099,36.5345,-0.74,1.73
585,Hay River,100,CA,2021-04-16,56,60.8156,-115.7999,7.0,1.03
586,Deputatsky,93,RU,2021-04-16,86,69.3,139.9,-12.77,2.21
587,Mgandu,98,TZ,2021-04-16,96,-5.95,34.1333,15.79,3.22
